company,location,total_laid_off,date,percentage_laid_off,industry,stage,funds_raised,country
23andMe,"SF Bay Area",200,2024-11-11,0.4,Healthcare,Post-IPO,1100,"United States"
23andMe,"SF Bay Area",71,2023-08-08,0.11,Healthcare,Post-IPO,1100,"United States"
7shifts,Saskatoon,30,2023-09-15,0.07,Food,"Series C",131,Canada
7Shifts,Saskatoon,68,2024-01-11,0.19,Food,"Series C",131,Canada
ABBYY,Nicosia,200,2024-10-01,,Data,Unknown,6,Cyprus
Absci,Portland,30,2023-09-05,0.15,Healthcare,Post-IPO,238,"United States"
ActiveFence,"New York City",22,2025-03-13,0.07,Security,"Series B",100,"United States"
Actyv.ai,Bengaluru,NULL,2023-08-02,0.6,Finance,Seed,12,India
Adda247,Gurugram,300,2023-10-14,,Education,"Series B",61,India
Adjust,Berlin,304,2024-11-22,,Marketing,Acquired,256,Germany
"Advisor Credit Exchange",Philadelphia,NULL,2025-01-14,1.0,Finance,Unknown,31,"United States"
Affirm,Pittsburgh,60,2024-02-21,,Finance,Post-IPO,1500,"United States"
AgentSync,Denver,67,2023-07-19,0.24,Finance,"Series B",111,"United States"
Airmeet,Bengaluru,NULL,2024-03-19,0.2,Marketing,"Series B",50,India
Airtable,"SF Bay Area",237,2023-09-14,0.27,Product,"Series F",1400,"United States"
Airtime,"New York City",25,2025-06-04,0.43,Consumer,"Series B",33,"United States"
Akamai,Boston,250,2024-11-07,0.02,Security,Post-IPO,35,"United States"
"Akili Interactive",Boston,NULL,2024-04-30,0.46,Healthcare,Post-IPO,271,"United States"
"Akili Labs",Boston,NULL,2023-09-13,0.4,Healthcare,Post-IPO,301,"United States"
Akseleran,Jakarta,60,2023-07-27,,Finance,"Series A",9,Indonesia
Akudo,Bengaluru,NULL,2023-09-20,1.0,Finance,Seed,4,India
"Aleph Farms","Tel Aviv",30,2024-06-05,0.3,Food,Unknown,119,Israel
Alerzo,Ibadan,100,2023-11-21,,Retail,"Series B",16,Nigeria
